ID,condition,label,climbing_experience,kilterboard_experience,boulders_grade,kilterboard_grade,hangboard_grade,baseline_grade,tries,success,pd_pre,pd_post
1,ABC,A,3+ years,2+ times a week,Purple (V3),V5,V6,V4,Flash attempt,1,Hard,Fair
1,ABC,B,3+ years,2+ times a week,Purple (V3),V5,V6,V4,Not sent,0,Hard,Very hard
1,ABC,C,3+ years,2+ times a week,Purple (V3),V5,V6,V4,Not sent,0,Hard,Hard
2,BCA,B,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V4 ,V3,Not sent,0,Hard,Fair
2,BCA,C,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V4 ,V3,Flash attempt,1,Hard,Easy
2,BCA,A,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V4 ,V3,Flash attempt,1,Very hard,Fair
3,CBA,C,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V1 ,V2,Not sent,0,Hard,Hard
3,CBA,B,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V1,V2,Flash attempt,1,Easy,Fair
3,CBA,A,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V1,V2,Flash attempt,1,Hard,Easy
4,ACB,A,1-3 years,2+ times a week,Black (V5),V5,V6,V5,Flash attempt,1,Easy,Fair
4,ACB,C,1-3 years,2+ times a week,Black (V5),V5,V6,V5,Flash attempt,1,Very easy,Very easy
4,ACB,B,1-3 years,2+ times a week,Black (V5),V5,V6,V5,Flash attempt,1,Easy,Easy
5,BCA,B,3+ years,Once in a while,Red (V4),V4,V8 ,V5,Flash attempt,1,Fair,Hard
5,BCA,C,3+ years,Once in a while,Red (V4),V4,V8 ,V5,Flash attempt,1,Fair,Fair
5,BCA,A,3+ years,Once in a while,Red (V4),V4,V8 ,V5,Flash attempt,1,Hard,Hard
6,ACB,A,3+ years,Once in a while,Black (V5),V6,V10,V6,Not sent,0,Fair,Hard
6,ACB,C,3+ years,Once in a while,Black (V5),V6,V10,V6,Not sent,0,Easy,Fair
6,ACB,B,3+ years,Once in a while,Black (V5),V6,V10,V6,Not sent,0,Fair,Fair
7,CAB,C,3+ years,Never tried it,Purple (V3),I don't Kilterboard,V9,V3,Flash attempt,1,Fair,Fair
7,CAB,A,3+ years,Never tried it,Purple (V3),I don't Kilterboard,V9,V3,Flash attempt,1,Fair,Easy
7,CAB,B,3+ years,Never tried it,Purple (V3),I don't Kilterboard,V9,V3,Flash attempt,1,Easy,Fair
8,ABC,A,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V7,V4,Flash attempt,1,Fair,Very hard
8,ABC,B,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V7,V4,Flash attempt,1,Easy,Easy
8,ABC,C,6-12 months,Never tried it,Purple (V3),I don't Kilterboard,V7,V4,Flash attempt,1,Easy,Fair
9,ABC,A,1-3 years,Once in a while,Purple (V3),I don't Kilterboard,V4 ,V4,Flash attempt,1,Easy,Fair
9,ABC,B,1-3 years,Once in a while,Purple (V3),I don't Kilterboard,V4 ,V4,Not sent,0,Easy,Hard
